# Hypersolve Slow Performer History

Generated by `cargo bench --bench retained_fuzz`. Timings are best-of-five wall-clock probes of deterministic inputs shaped by the registered cargo-fuzz targets.

Latest run sampled 20000 deterministic fuzz cases. This table merges crate-local history by `family + target + input`, keeps each case's worst observed time, and retains the 1000 worst cases.

## Worst Performers

| Rank | Worst Time | Family | Target | Input |
| 162 | 54.056 us | `cargo-fuzz` | `sketch_projected_point_on_arc` | `seed[18]` |
| 163 | 54.037 us | `cargo-fuzz` | `sketch_projected_equal_length` | `seed[6]` |
| 164 | 54.036 us | `cargo-fuzz` | `sketch_projected_line_circle_tangent` | `seed[8]` |
| 165 | 53.976 us | `cargo-fuzz` | `sketch_projected_distance` | `seed[127]` |
| 166 | 53.956 us | `cargo-fuzz` | `sketch_projected_line_orientation` | `seed[8]` |
| 167 | 53.937 us | `cargo-fuzz` | `sketch_projected_point_on_cubic` | `seed[19]` |
| 168 | 53.936 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_tangent` | `seed[19]` |
| 169 | 53.936 us | `cargo-fuzz` | `sketch_projected_point_on_cubic` | `seed[8]` |
| 170 | 53.926 us | `cargo-fuzz` | `sketch_projected_point_on_circle` | `seed[19]` |
| 171 | 53.876 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[0]` |
| 172 | 53.876 us | `cargo-fuzz` | `sketch_projected_cubic_line_tangent` | `seed[17]` |
| 173 | 53.866 us | `cargo-fuzz` | `sketch_projected_line_orientation` | `seed[21]` |
| 174 | 53.857 us | `cargo-fuzz` | `sketch_projected_point_line_distance` | `seed[18]` |
| 175 | 53.846 us | `cargo-fuzz` | `sketch_projected_equal_length` | `seed[2]` |
| 176 | 53.836 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[15]` |
| 177 | 53.836 us | `cargo-fuzz` | `sketch_projected_equal_point_distance_point_line_distance` | `seed[22]` |
| 178 | 53.836 us | `cargo-fuzz` | `sketch_projected_length_ratio` | `seed[19]` |
| 179 | 53.836 us | `cargo-fuzz` | `sketch_projected_point_distance_difference` | `seed[22]` |
| 180 | 53.826 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_tangent` | `seed[7]` |
| 181 | 53.816 us | `cargo-fuzz` | `sketch_projected_equal_length` | `seed[12]` |
| 182 | 53.816 us | `cargo-fuzz` | `sketch_projected_point_on_arc` | `seed[2]` |
| 183 | 53.756 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[6]` |
| 184 | 53.716 us | `cargo-fuzz` | `sketch_projected_point_distance_difference` | `seed[7]` |
| 185 | 53.707 us | `cargo-fuzz` | `sketch_projected_point_concentric` | `seed[138]` |
| 186 | 53.696 us | `cargo-fuzz` | `sketch_projected_point_on_circle` | `seed[17]` |
| 187 | 53.686 us | `cargo-fuzz` | `sketch_projected_point_radius_equality` | `seed[8]` |
| 188 | 53.656 us | `cargo-fuzz` | `sketch_projected_cubic_curve_line_tangent` | `seed[8]` |
| 189 | 53.656 us | `cargo-fuzz` | `sketch_projected_length_point_line_distance` | `seed[7]` |
| 190 | 53.656 us | `cargo-fuzz` | `sketch_projected_length_point_line_distance` | `seed[19]` |
| 191 | 53.656 us | `cargo-fuzz` | `sketch_projected_point_on_circle` | `seed[7]` |
| 192 | 53.647 us | `cargo-fuzz` | `sketch_projected_point_on_cubic` | `seed[21]` |
| 193 | 53.646 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_tangent` | `seed[5]` |
| 194 | 53.637 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[23]` |
| 195 | 53.636 us | `cargo-fuzz` | `sketch_projected_arc_line_tangent` | `seed[1]` |
| 196 | 53.616 us | `cargo-fuzz` | `sketch_projected_point_on_cubic_curve` | `seed[18]` |
| 197 | 53.587 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_tangent` | `seed[7]` |
| 198 | 53.576 us | `cargo-fuzz` | `sketch_projected_equal_length` | `seed[7]` |
| 199 | 53.567 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[19]` |
| 200 | 53.556 us | `cargo-fuzz` | `sketch_projected_distance` | `seed[19]` |
| 201 | 53.556 us | `cargo-fuzz` | `sketch_projected_point_line_distance` | `seed[21]` |
| 202 | 53.537 us | `cargo-fuzz` | `sketch_projected_point_line_radius_equality` | `seed[8]` |
| 203 | 53.536 us | `cargo-fuzz` | `sketch_projected_equal_point_point_distances` | `seed[20]` |
| 204 | 53.527 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_c2` | `seed[2]` |
| 205 | 53.527 us | `cargo-fuzz` | `sketch_projected_point_on_cubic_curve` | `seed[7]` |
| 206 | 53.516 us | `cargo-fuzz` | `sketch_projected_length_ratio` | `seed[6]` |
| 207 | 53.516 us | `cargo-fuzz` | `sketch_projected_point_distance_ratio` | `seed[5]` |
| 208 | 53.496 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_tangent` | `seed[20]` |
| 209 | 53.496 us | `cargo-fuzz` | `sketch_projected_cubic_line_tangent` | `seed[7]` |
| 210 | 53.486 us | `cargo-fuzz` | `sketch_projected_distance` | `seed[8]` |
| 211 | 53.486 us | `cargo-fuzz` | `sketch_projected_equal_point_line_distances` | `seed[6]` |
| 212 | 53.437 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_second_order_contact` | `seed[17]` |
| 213 | 53.416 us | `cargo-fuzz` | `sketch_projected_equal_point_line_distances` | `seed[2]` |
| 214 | 53.406 us | `cargo-fuzz` | `sketch_projected_equal_length` | `seed[5]` |
| 215 | 53.397 us | `cargo-fuzz` | `sketch_projected_point_concentric` | `seed[22]` |
| 216 | 53.387 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_tangent` | `seed[20]` |
| 217 | 53.386 us | `cargo-fuzz` | `sketch_projected_arc_cubic_curve_tangent` | `seed[19]` |
| 218 | 53.386 us | `cargo-fuzz` | `sketch_projected_arc_line_tangent` | `seed[23]` |
| 219 | 53.376 us | `cargo-fuzz` | `sketch_projected_distance_range` | `seed[23]` |
| 220 | 53.376 us | `cargo-fuzz` | `sketch_projected_equal_length` | `seed[22]` |
| 221 | 53.366 us | `cargo-fuzz` | `sketch_projected_length_difference` | `seed[19]` |
| 222 | 53.357 us | `cargo-fuzz` | `sketch_projected_line_orientation` | `seed[22]` |
| 223 | 53.336 us | `cargo-fuzz` | `sketch_projected_point_line_distance` | `seed[7]` |
| 224 | 53.317 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[21]` |
| 225 | 53.307 us | `cargo-fuzz` | `sketch_projected_equal_point_point_distances` | `seed[8]` |
| 226 | 53.297 us | `cargo-fuzz` | `sketch_projected_arc_line_tangent` | `seed[22]` |
| 227 | 53.297 us | `cargo-fuzz` | `sketch_projected_distance` | `seed[21]` |
| 228 | 53.276 us | `cargo-fuzz` | `sketch_projected_distance_range` | `seed[19]` |
| 229 | 53.256 us | `cargo-fuzz` | `sketch_projected_point_on_circle` | `seed[5]` |
| 230 | 53.246 us | `cargo-fuzz` | `sketch_projected_distance` | `seed[23]` |
| 231 | 53.236 us | `cargo-fuzz` | `sketch_projected_line_length_range` | `seed[21]` |
| 232 | 53.216 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[9]` |
| 233 | 53.216 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_c2` | `seed[16]` |
| 234 | 53.216 us | `cargo-fuzz` | `sketch_projected_point_radius_equality` | `seed[7]` |
| 235 | 53.186 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_tangent` | `seed[65]` |
| 236 | 53.186 us | `cargo-fuzz` | `sketch_projected_point_distance_ratio` | `seed[20]` |
| 237 | 53.176 us | `cargo-fuzz` | `sketch_projected_point_line_radius_equality` | `seed[19]` |
| 238 | 53.166 us | `cargo-fuzz` | `sketch_projected_line_symmetry` | `seed[19]` |
| 239 | 53.147 us | `cargo-fuzz` | `sketch_projected_point_distance_difference` | `seed[9]` |
| 240 | 53.146 us | `cargo-fuzz` | `sketch_projected_point_distance_difference` | `seed[19]` |
| 241 | 53.137 us | `cargo-fuzz` | `sketch_projected_point_on_cubic_curve` | `seed[2]` |
| 242 | 53.106 us | `cargo-fuzz` | `sketch_projected_arc_line_tangent` | `seed[21]` |
| 243 | 53.086 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[3]` |
| 244 | 53.066 us | `cargo-fuzz` | `sketch_projected_equal_point_distance_point_line_distance` | `seed[5]` |
| 245 | 53.056 us | `cargo-fuzz` | `sketch_projected_point_on_cubic_curve` | `seed[22]` |
| 246 | 53.007 us | `cargo-fuzz` | `sketch_projected_cubic_curve_line_tangent` | `seed[20]` |
| 247 | 52.986 us | `cargo-fuzz` | `sketch_projected_point_line_distance` | `seed[92]` |
| 248 | 52.986 us | `cargo-fuzz` | `sketch_projected_point_line_distance_range` | `seed[19]` |
| 249 | 52.967 us | `cargo-fuzz` | `sketch_projected_line_radius_equality` | `seed[5]` |
| 250 | 52.966 us | `cargo-fuzz` | `sketch_projected_line_circle_tangent` | `seed[5]` |
| 251 | 52.966 us | `cargo-fuzz` | `sketch_projected_oriented_angle` | `seed[9]` |
| 252 | 52.957 us | `cargo-fuzz` | `sketch_projected_cubic_curve_cubic_curve_tangent` | `seed[22]` |
| 253 | 52.927 us | `cargo-fuzz` | `sketch_projected_equal_length` | `seed[19]` |
| 254 | 52.906 us | `cargo-fuzz` | `sketch_projected_equal_point_distance_point_line_distance` | `seed[19]` |
| 255 | 52.867 us | `cargo-fuzz` | `sketch_projected_point_concentric` | `seed[5]` |
| 256 | 52.866 us | `cargo-fuzz` | `sketch_projected_point_line_distance_range` | `seed[22]` |
| 257 | 52.866 us | `cargo-fuzz` | `sketch_projected_point_line_radius_equality` | `seed[2]` |
| 258 | 52.846 us | `cargo-fuzz` | `sketch_projected_point_line_distance_range` | `seed[7]` |
| 259 | 52.826 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[4]` |
| 260 | 52.817 us | `cargo-fuzz` | `sketch_projected_oriented_angle` | `seed[5]` |
| 261 | 52.807 us | `cargo-fuzz` | `failed_constraint_minimal_removals` | `seed[28]` |
| 262 | 52.797 us | `cargo-fuzz` | `sketch_projected_oriented_angle` | `seed[138]` |
| 263 | 52.787 us | `cargo-fuzz` | `sketch_projected_line_orientation` | `seed[7]` |
